"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CORIPUS","199013","13409.258","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199101","12734.71","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199102","13045.821","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199103","12838.774","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199104","13041.667","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199105","13538.645","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199106","13918.067","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199107","13702.903","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199108","13800.258","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199109","13693.8","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199110","12896.258","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199111","12928.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199112","13464.968","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199113","13301.414","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199201","12922.871","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199202","12485.897","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199203","13083.452","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199204","13259.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199205","13679.194","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","199206","14059.467","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
